RSSI,Connected_Devices
-71.2003583067808,4
-31.158959398708106,2
-89.3025266649847,6
-37.71435277159612,3
-37.66919712611247,2
-44.07809502865786,3
-66.2108646961861,2
-60.67279227488411,1
-33.784314904388886,6
-79.11611163506339,6
-83.01182392764093,2
-32.63100692451788,3
-42.08259152773551,2
-33.434102371607324,1
-89.76778922655464,2
-66.0377986306122,3
-51.69437504781954,2
-69.12977390254619,2
-60.088766127592045,3
-43.214892575808186,3
-41.30677415744997,2
-43.78910376283668,2
-83.54738232942135,5
-38.6298801196995,1
-74.32961122099564,0
-33.30185486410224,2
-33.37834674213741,2
-68.99338450497027,5
-52.709504602841236,3
-69.43142758740584,5
-31.017727886962014,3
-88.22428267758835,1
-81.87184288211108,3
-73.32273195471882,2
-89.14013478231503,7
-55.726944760604724,1
-68.70582318173189,4
-76.34886537634583,5
-87.29640614219221,6
-46.84097139791385,1
-64.72494721058158,3
-32.16233437989581,6
-47.24342505864558,3
-48.60314446258444,1
-69.40468778537996,3
-51.775493989403614,3
-47.56899877968361,3
-33.30290389995199,2
-47.879061047277084,6
-88.95376620796495,1
-75.04064419639315,3
-84.05577852994027,2
-87.00075365103038,2
-47.07419244799033,2
-40.519042645654025,4
-58.890344261640685,4
-68.65601640970723,2
-83.47404149799306,3
-36.222839904166705,3
-56.860517320045155,2
-43.80034310660926,7
-64.96429643720504,4
-44.17737681130228,4
-41.229555964071274,3
-51.07570670428211,2
-83.30536797412596,2
-48.642377462273124,4
-59.93589566896317,5
-64.1666380323529,9
-55.75211276517742,4
-82.35492767970818,2
-42.06564009397301,3
-49.880396039885085,3
-54.08798063662302,3
-77.73128416219527,2
-54.28094874475426,3
-39.86223196132038,3
-80.32705089698086,2
-86.81738869696501,3
-35.39635649953993,3
-49.41665625328556,3
-38.340542347115544,2
-41.93061886425107,8
-53.29910550998447,2
-68.70558133677811,0
-49.023104725298865,2
-70.3984793673493,4
-53.18399646958116,5
-53.973973606737125,1
-49.562934450124175,0
-40.79042921698517,0
-38.18776482356136,2
-33.94188226100301,3
-66.17448343854048,4
-65.98196240131408,2
-47.984507824526105,1
-71.00444849415337,0
-30.06050147142819,6
-45.93253934556769,4
-66.80319579478441,0
-87.21048703862219,3
-87.33121025107111,4
-80.34049980579104,9
-48.84742447926371,1
-49.58301670488163,2
-50.28042854587848,2
-75.94324941169046,4
-69.13290807173956,3
-62.21030293520206,2
-47.184782894531814,3
-89.34830593741607,6
-53.94724115337175,7
-56.398245869780006,2
-41.6910740797086,2
-46.980458952170146,3
-75.64547389906359,2
-83.0277752641375,3
-74.43963723548217,3
-82.39894064155962,2
-84.71217367663526,3
-73.11274584779572,1
-36.95203861633411,1
-46.79081864717698,2
-85.12055620082907,3
-35.91465070265384,1
-57.017094395435294,1
-76.53867179727843,3
-52.486595677132875,2
-78.44367781009005,2
-86.86222487461193,1
-81.51635203159925,1
-54.486114594760316,3
-80.77856055831758,1
-39.58857774315514,4
-88.369871868615,0
-73.23017783514922,5
-80.83663793975543,4
-55.11170398404137,5
-82.38518319153404,4
-43.88775774600829,3
-43.60565332511686,3
-56.77006391354785,0
-75.26671449596616,1
-38.81825369923351,4
-30.831221607709814,3
-65.41113237167355,1
-74.02545567286204,3
-36.233624725714414,2
-39.52653041097877,3
-54.80953857528505,3
-49.507338676516014,2
-34.01406392355505,3
-50.02822594101112,3
-39.406885314674966,6
-55.827784763294645,4
-36.57601328707052,5
-35.690180917735205,5
-60.783559491700075,5
-77.20421118133777,3
-53.41193530422534,0
-56.30447479804818,0
-41.20908415817289,3
-81.44477732989746,2
-89.96720063437147,2
-56.00130330560356,2
-41.639087640646125,5
-82.07120999408632,6
-73.5567281038913,4
-87.87792679822107,5
-56.62185553188345,2
-53.04121445196287,1
-42.526726958287604,0
-80.62426854489169,5
-34.728221975532236,3
-83.21898532088262,2
-51.74154596998658,5
-40.096011461500694,2
-86.1564770341391,1
-58.86044288639704,2
-58.43410935602476,4
-81.6038808516549,3
-58.661278179729926,4
-41.719465597339955,5
-48.05094069521326,6
-58.98606176182396,1
-33.958709584036704,1
-69.15660469288056,5
-89.2726531814598,3
-46.527556012409086,1
-58.37820552999305,5
-78.54273707769437,2
-30.71817504897603,2
-71.77374298498633,5
-35.829849949816875,6
-67.92023392782475,3
-37.92677402290574,4
-48.32404748866537,3
-48.52576336918965,3
-59.123685391428225,3
-88.8180476093634,1
-50.583331076523216,2
-62.27147429316337,1
-58.27770949188242,5
-70.73316072981243,1
-57.567409183024736,1
-69.2751957590197,4
-84.09654157391297,2
-88.26506635304153,7
-68.23318880804823,6
-30.997788098187137,1
-89.01663813043861,1
-63.94016453870826,5
-46.73542879012862,5
-48.244887800079354,5
-61.845312653848225,4
-73.12161537295532,1
-80.60446947247587,1
-86.88301507225736,4
-35.02475751364309,3
-81.78373446907437,2
-47.47381369354833,1
-77.42761699888524,3
-42.99672595780281,3
-39.82386545667368,3
-84.34835566334425,3
-31.705028458477877,6
-81.43153017370092,3
-31.57230703521433,2
-60.03801254135672,1
-73.35596006999911,3
-46.27302845145635,1
-78.68522031238653,3
-63.00305333107112,2
-89.71028333698007,2
-47.06904564157487,6
-42.035745211656184,4
-45.185087158753596,3
-78.52175585981549,4
-81.46817862300537,3
-68.35637026089043,2
-47.57405170750968,2
-54.13065254874754,3
-40.94882400528484,4
-85.91721586490534,2
-70.04961225937794,3
-56.78458723627803,4
-52.270134757323696,3
-43.39605482366041,2
-82.76980841274263,3
-83.92351076190715,5
-33.97690103583956,3
-66.0088855443604,2
-87.5266589399193,3
-55.146700547946224,7
-55.13658816269607,2
-62.224845008815805,5
-71.8341261620383,5
-69.58794675338893,1
-58.41156463621796,4
-82.4214113452087,1
-59.20974234504945,5
-53.795702108242025,2
-53.84810552819374,4
-55.80317102307138,3
-40.587250650365,8
-41.592425019855156,1
-75.19659683470442,2
-38.062240019202335,0
-43.74968005978816,3
-81.79983794385642,2
-47.779761088573444,3
-51.64096388595261,6
-54.40140676563432,6
-46.24847659354637,8
-88.53868146239103,5
-54.60583268730028,3
-56.139700446941376,2
-44.09134439006358,4
-74.68464397753277,5
-40.393650646198154,4
-56.90534624372526,3
-67.1978486311755,3
-65.36030442227622,4
-85.85788807296646,1
-43.239070317930896,3
-40.411074425205946,4
-85.3613039831172,3
-87.95059225144878,6
-42.082700781275264,4
-34.15641593870425,2
-88.11193701044147,6
-87.94724900292304,3
-86.12825608402349,3
-61.742353130234704,4
-53.17113786843118,4
-70.79518464669879,2
-74.57995289687831,4
-68.90509381907393,1
-49.62733899040154,3
-40.82266392148184,5
-68.25385443938421,3
-54.226528897610464,4
-34.94558710209296,6
-35.18328168821857,6
-32.044677628438464,3
-46.70256068237992,1
-67.32660383851842,1
-67.09737035287837,1
-40.44760220770891,7
-40.29080906644796,2
-45.60633301743029,3
-71.19282715313692,3
-49.56160392670535,4
-79.61221041391416,3
-37.74485923652227,0
-32.01535669168115,2
-54.414329219853705,1
-45.68594025675529,0
-48.79401138542508,0
-72.90220261470859,3
-32.536561245839714,3
-77.35685349262616,4
-64.56732001341216,2
-71.37642489361133,4
-58.651379579143395,5
-81.70338985504743,3
-78.91925316654081,0
-38.7732671164366,0
-55.792947898604844,3
-43.54099264302466,3
-55.01752079705195,4
-37.098561009926534,1
-85.13393752639908,6
-89.63733033130492,3
-67.59108448350662,3
-84.89835779787495,3
-70.75877450082906,3
-64.02123436615946,8
-88.64426029790384,2
-62.3616415128757,4
-41.63967259741347,2
-87.88630783559266,3
-71.86247709523613,2
-72.8474635912145,3
-72.23611194066751,3
-79.28534015813433,3
-89.09909388452932,2
-56.3927140498937,4
-42.014319399387084,1
-36.297639154839906,4
-31.767320062363233,5
-74.91727943072502,1
-89.17721152672537,2
-69.06712840066899,2
-45.74721958595932,5
-35.84608209678199,5
-31.040138939493268,6
-62.512294849469725,2
-79.5653850907552,3
-32.35938123775914,2
-79.28390426510904,3
-31.648135881309862,2
-52.23154735501597,1
-63.83836827540201,1
-75.98052859410026,1
-84.02212728638285,4
-81.39613418858025,2
-39.12861428113619,6
-80.62985536345458,7
-74.59846193950834,8
-43.79856987224887,3
-33.71441316979087,2
-35.38578613711997,2
-89.50243537939338,3
-71.75911098011038,7
-36.33525371451269,3
-85.9083644405591,6
-59.874384896926756,3
-60.132620687763065,4
-89.65252511012208,3
-86.03215520530973,1
-89.45707918088048,2
-42.963801084979906,3
-80.18959895104591,3
-62.59681625098909,3
-72.95001960154794,3
-81.35754121262737,1
-86.8797443593499,4
-39.9292835533001,4
-78.96795921456557,1
-41.78400688997195,7
-37.63834590036347,7
-76.87776622670566,4
-79.25757829840502,3
-41.19040312007261,1
-82.9470178093915,0
-56.194853253970045,0
-81.00476191714895,2
-34.026985332827174,3
-39.30850803092162,4
-84.67001110071043,3
-63.59907711398692,2
-77.99731239706526,2
-69.00758504443132,3
-56.67691282695906,6
-67.89014631326988,6
-32.6437527225729,2
-37.5194572240912,0
-50.5274221709965,3
-86.6867869126269,2
-78.49043681749629,4
-66.91342024321831,1
-56.64272215339856,6
-30.394016358117604,2
-52.04632647171513,1
-60.34087458305724,1
-63.95411080606743,4
-85.31490142899946,6
-33.37926742375643,2
-87.8971439604099,5
-82.97439447843567,3
-68.03434547652348,5
-82.35680914110924,1
-34.26035856799215,2
-37.470488921685906,2
-32.70289995855958,2
-64.62258448165721,4
-39.30767524227527,3
-49.3186752698185,1
-76.81606312769959,0
-64.11173951897413,4
-59.27572164517811,4
-85.23043376203071,3
-32.23516789425053,2
-73.36908955084843,4
-72.4655183568573,2
-88.62920788460995,0
-38.33349284192953,1
-38.56370774740635,6
-30.145836582784028,4
-57.485220401842206,2
-37.16778987244659,4
-56.971233626393506,4
-48.15310571440707,3
-56.072771202334366,1
-83.62638839508352,3
-37.037623538551244,4
-65.2125831760899,2
-76.12431067372421,3
-54.71132657988439,8
-81.61511872619604,2
-39.16413959302304,3
-54.36770067544548,4
-76.85740621596948,5
-81.22415917431606,2
-89.58007782832581,2
-36.54338294325441,3
-55.551932251294836,1
-72.50343710851254,2
-55.73739802032439,4
-54.390606920147825,2
-57.455121578173795,5
-84.6120602124274,0
-60.75629181267439,3
-67.090110183933,3
-87.89921126880907,4
-57.58548161581785,1
-36.79119315138326,0
-70.39563219866653,5
-56.44906437475688,1
-38.26014908555317,2
-51.58148920216317,0
-63.21730000179287,5
-60.95460777143405,7
-57.10063229177091,7
-52.83800585360115,6
-56.848059066010514,7
-68.80538299369043,1
-53.05809094671681,4
-33.212557699971875,2
-38.60943119937875,3
-45.783779444533906,4
-78.18931440234999,3
-69.47098862751702,1
-30.01666895759518,3
-71.47109280559629,6
-49.37260987839225,3
-69.79818298959961,2
-81.52578261133917,1
-34.70189494749752,2
-70.8033818864652,3
-73.96338730926442,2
-80.96440044167126,1
-77.1109990528069,1
-49.39718572846059,3
-49.11591708168146,5
-80.83249478856855,1
-54.335006724596546,1
-70.29482062498333,1
-64.19484354081891,4
-34.3781030935672,4
-78.06799084957211,4
-66.1140981893765,3
-76.8737718542013,4
-74.02133365122144,2
-60.6186105205997,1
-44.33297282591076,5
-70.21806453079935,2
-61.0512510999483,3
-46.282393009926714,1
-68.33920841843056,3
-61.12199936839374,1
-87.39116218779205,5
-31.619327174413385,3
-36.76908893535538,1
-31.12834310823662,3
-70.37421235110142,3
-51.32299345461947,2
-83.83976201825503,4
-84.64015091953513,3
-49.22283211168165,2
-66.28850778823136,1
-67.06689335338481,6
-40.48038543570051,3
-46.41738859775662,2
-80.54440351435248,3
-55.00165159059862,2
-89.65283607856917,6
-46.40908564656199,1
-31.368259858571072,2
-81.30188002174044,7
-79.92092763863364,3
-66.3225263336908,0
-55.06304335882686,2
-42.7542745595892,1
-55.69301476998086,4
-74.82607137156181,4
-32.87876780536047,2
-42.1082530185774,1
-74.63115377834788,3
-85.67863854581809,6
-61.7831968064369,3
-60.33620670200379,1
-63.60987751186382,6
-84.19921885697578,1
-54.47694601793163,5
-61.85265089459776,2
-74.2822887041661,3
-36.579089529091526,0
-33.01673942930951,1
-72.27438477989308,6
-37.08660223607899,4
-83.77130690396697,3
-73.31575671954118,0
-49.99857833332397,2
-74.07748476136476,2
-32.11854168206537,2
-85.62752599821317,1
-52.990174268704465,6
-87.8143504037698,3
-76.04922406758493,2
-79.31393525181157,7
-70.80959885276167,6
-78.59455470411505,0
-87.15291107768851,1
-73.03835625192647,3
-85.94973321715496,3
-51.59985288441552,1
-62.683630565862394,1
-48.1938229404798,4
-81.62046896378652,1
-79.69808734836556,1
-60.012669058718956,2
-35.76316217725456,2
-73.87681138949262,2
-81.76148429046886,2
-88.24478302740795,1
-71.29457714014231,2
-57.87736545908559,5
-68.08357679341844,3
-33.759764097680126,1
-33.87447305837633,1
-49.779804488634035,3
-82.85212677913839,4
-32.89038089907476,2
-70.95003749963303,3
-32.12328415491505,4
-47.49945099941584,4
-55.47522238249809,4
-32.211648118269885,3
-39.157441843290066,4
-43.75298815096511,6
-76.29750658114743,3
-87.75786264854233,2
-49.10112736181981,2
-45.35424528754205,2
-48.78010492140662,2
-38.043430790819286,2
-42.392028913972894,2
-75.37120915669291,3
-63.615752957671106,3
-87.60484361170353,2
-61.158065906772975,5
-38.83409264414807,3
-38.71712174148681,3
-65.03000395434381,6
-72.81838075264862,1
-58.384895010316555,6
-50.736423139455866,4
-46.463368435751086,3
-47.490755074940886,3
-37.382872996371745,2
-69.89925913244699,1
-71.22218017926653,4
-45.55181751667319,0
-87.53434612455037,4
-74.1830939955222,3
-41.241343634908596,1
-30.76361060774913,7
-44.00944765018006,2
-57.89420608517767,0
-54.02603365282164,3
-85.50645359558315,5
-62.76250987534448,3
-53.46669870238105,3
-70.89573115135435,4
-47.850193072575536,1
-74.7433638185794,2
-78.98605515326034,3
-77.77660743514633,2
-56.08294088464952,3
-79.80861744508651,4
-82.06321947851978,4
-87.55749774239449,1
-89.99920670086172,5
-84.36394276516708,3
-84.65383966656078,2
-49.67435890680848,1
-40.0871798704229,4
-81.80826426519823,5
-83.91777709286544,3
-58.80169047376917,1
-62.648544449968085,1
-89.538124196783,6
-64.61508620231658,3
-69.67027012216106,2
-47.36940325027935,4
-51.31746652056745,3
-74.44723632895345,3
-58.52472395302965,6
-48.84642851831916,1
-46.41065970723493,1
-45.6594696428925,3
-88.49382825534545,3
-63.89005278554642,2
-87.79981833319087,2
-34.83285554345776,3
-48.68815781497687,4
-52.517321380958464,4
-64.06992299881679,5
-60.03152331530704,3
-82.51879282467723,3
-62.702399635527684,2
-58.240665274463595,4
-33.436351930760374,4
-37.39053719732654,3
-74.0482860277858,2
-52.50901406606959,1
-64.20535696560539,2
-58.17526709778352,1
-43.24707477252098,2
-31.433858645761248,1
-78.3894316464148,3
-85.76695360898545,1
-44.24221279539961,0
-82.9448864764983,2
-66.37928171668777,0
-66.79381958103647,4
-68.55410403780745,3
-44.68240995168011,4
-33.06900023459163,4
-41.6040601502481,2
-78.2804266476364,5
-46.62700224097356,4
-87.2553042198757,1
-87.17948211776958,2
-86.87621375716338,3
-82.12808740082224,4
-43.32074607362845,3
-79.75856667674336,3
-38.30905304960008,4
-76.92002380591853,2
-68.00676915595831,3
-52.746639720932265,4
-63.32725244489827,0
-34.03603225771522,3
-67.29553473681999,4
-89.34569307424619,4
-84.89930601153742,2
-82.8308444993878,4
-86.10254365855005,3
-30.03756511120615,5
-67.86335535228275,2
-62.81882179514557,1
-41.19792545463465,3
-53.157716760212786,1
-55.948301931971635,0
-55.98962953656125,8
-30.266851469151163,4
-67.53415021215493,2
-36.19610155609159,4
-36.18527302002344,2
-79.93147061799901,1
-88.1539200619886,2
-47.843081279354536,4
-59.7487605449909,0
-79.29329746947357,1
-83.86473420948519,0
-50.900452143122365,2
-75.86078650935185,3
-81.11753622534941,6
-69.16330870494996,4
-50.50731734431812,3
-82.27624620554208,2
-44.24699914547815,5
-47.9776859209757,1
-45.058484899711516,3
-75.16354221046889,2
-51.82769370389593,1
-72.70159623835917,1
-55.556823746583426,4
-49.068945086465675,4
-87.85611349485164,4
-56.51305255587127,3
-55.33169878125008,6
-37.90590163816941,0
-81.1336834216535,6
-78.62892902265042,2
-42.826776890203554,5
-85.00475430915813,2
-73.85653545195174,1
-82.02352061556273,1
-70.49396754626491,2
-77.26613818295786,4
-89.9468578294418,4
-74.2310503294269,4
-60.69253510241822,3
-30.641166532032905,3
-57.86393931575715,2
-74.08213602238135,1
-62.40454020201659,4
-71.22570173642256,0
-62.458416113048344,2
-32.251406056270454,2
-31.488475946302742,1
-55.523395056615584,2
-63.89311450532034,1
-52.81951980423573,3
-63.028078577606074,7
-51.30610257996296,4
-49.32344760206323,1
-89.73969929969793,5
-82.63118627520485,3
-49.62236147492453,2
-84.99592248901169,3
-82.83910060154462,3
-64.87827078465217,3
-47.421219083245575,1
-42.78554975818428,4
-66.11155072358281,4
-71.69761577128179,4
-87.37389176465297,5
-64.03448429837023,3
-68.08520244888011,4
-64.21088459467866,6
-76.10193129378357,2
-37.739717498265186,3
-57.560633887472804,2
-37.47869637211538,2
-35.69602894795834,3
-48.88295817386221,2
-50.10618720664397,4
-46.64774347439517,4
-49.47838921566331,3
-37.765147060024695,4
-83.32509450519687,2
-61.923573746332195,2
-44.068988355193625,5
-46.70276566311546,2
-30.639596495745202,5
-58.43769915605257,0
-32.18070559235757,3
-54.84081856089136,2
-85.25013129489948,2
-61.86991917888807,5
-65.7140714108621,2
-30.23551019232164,4
-85.71806140541462,1
-76.83711472311164,3
-48.513777023147924,4
-45.880625600631745,5
-85.91449228911755,4
-75.68372343376706,3
-74.48857312594556,2
-54.97467821990227,2
-72.8541706818449,3
-83.00937505870364,3
-41.876873590094384,5
-54.163433152498456,4
-55.60059564078495,4
-54.205518221258664,3
-75.61502583197714,6
-52.98270668465445,1
-65.11192289675797,5
-41.45680049420709,4
-77.54027596362164,3
-49.700988429789625,4
-58.74247772277899,3
-42.38899147656811,5
-38.693215766113354,3
-68.51944612161633,4
-81.45231496244922,6
-71.73304892000053,2
-36.216208588678676,3
-69.26791274079127,2
-69.67623785349103,2
-44.12129463900498,2
-55.206426563647824,2
-58.79584234553124,2
-69.58022700676608,4
-73.24384738245857,3
-52.8739340951995,2
-41.37493481901351,3
-74.33722039505969,3
-51.804515592947304,4
-57.96798198808305,2
-55.97954210427823,2
-52.464174055005124,2
-45.585224993034245,3
-87.6131111544504,7
-44.89200584074405,3
-54.743968807049804,4
-84.95623518457137,3
-61.67200953358928,6
-42.67967774430356,3
-46.06001468965083,1
-59.77881962177402,4
-70.33364013117503,3
-78.768377172368,5
-65.81248043565348,0
-66.90196558268995,2
-41.6958095111089,2
-52.56510495690367,2
-39.08414196768034,3
-40.333492434490914,4
-44.0131023028796,5
-60.125913282193316,1
-47.95719546927519,2
-70.16112549192857,0
-66.09035109650294,1
-53.62252755328659,8
-33.42921378097254,3
-30.4844822416064,3
-60.543853123016525,4
-82.03877478691538,3
-57.207251022794225,1
-89.71682049972337,2
-88.09577316066846,1
-80.41293623361473,1
-33.71915940155739,2
-44.835951320730366,3
-56.775129517564544,6
-87.56475735590153,3
-33.80841493482653,3
-58.280390198503866,3
-79.39364250723474,2
-49.26226514085043,3
-48.590560122994134,2
-65.8889470602461,4
-59.77904511251224,3
-78.66033562520363,4
-47.17732509628099,4
-49.433763997467885,2
-87.82584729385782,3
-62.44811766908951,2
-68.04450423165403,6
-35.231624142212375,3
-70.3672186013473,3
-44.92456486893899,5
-46.09232524812428,4
-53.03851547176216,3
-60.876594010413754,0
-72.6680410251056,5
-70.46729236343342,1
-32.20871245284849,4
-48.768697424766145,4
-83.34651193855407,7
-38.19383660707345,1
-37.009114532536614,0
-84.06598175530694,1
-37.339872515492154,3
-43.71487139198273,3
-67.92159215003855,2
-62.100401699631746,1
-57.39196451995556,3
-58.88621017520874,4
-69.91188845636111,4
-80.42635625329464,1
-65.31214938194243,1
-43.49676646799188,2
-63.69795859557536,3
-76.26347018373458,4
-60.941110857161135,7
-65.7414584721226,2
-40.60702211114307,5
-88.29094373304956,1
-76.01897238077086,2
-68.58091775397553,3
-72.45237525491777,5
-68.93572118401185,2
-64.11057587976458,3
-34.527464037231205,3
-55.38277119599891,2
-89.01262199190408,5
-85.74586403455837,4
-83.19368401968073,3
-42.80102152265604,2
-88.72516198032237,3
-76.34162060484793,8
-30.96597096732912,1
-31.856409606970935,0
-62.262201572278386,2
-75.14985124302947,1
-67.13170595268595,1
-87.38799290872646,1
-55.23288696944655,6
-34.705295544522095,2
-82.4503824221508,2
-47.91557694747246,3
-51.229973253962235,1
-61.275252955278646,9
-78.3867253977432,6
-73.90130276752828,3
-45.419582141581905,3
-85.83969273558182,3
-42.343247114978666,3
-89.26558030982282,0
-34.1977444149093,2
-71.63250358952232,4
-66.6989635236358,8
-51.27630845700811,6
-86.82626822028219,5
-65.25786528006813,2
-83.98233776598997,1
-79.69540104574992,2
-70.3496606054715,4
-74.89662858542007,3
-57.79716304739098,2
-40.84168846103494,2
-78.31893103089718,6
-84.56988226023914,2
-55.86740944851384,6
-81.2397008254425,1
-43.279880605847914,5
-69.81007558158906,8
-71.20324152492589,2
-56.42045533851658,3
-74.17802223802609,2
-49.21087355715683,2
-81.63253617396768,2
-36.16425111095442,1
-46.61088887696916,2
-86.10674488318267,5
-62.98582749922073,4
-74.27094754760999,1
-75.39466555363285,4
-32.78024815139513,3
-30.564580499834562,2
-77.9487682741154,0
-53.97972032320669,7
-47.03205603231317,3
-71.04305049229363,1
-74.10667510675081,2
-85.25131915360656,0
-35.60299030803571,0
-49.22229359822893,0
-71.11844614757612,2
-86.6907359141191,2
-32.236241758706015,0
-80.06628839474317,2
-51.15351276485662,4
-56.238027700379774,3
-80.37674118368236,1
-47.52065100561563,1
-40.96137031798535,1
-74.09510281985546,4
-38.677610684687906,1
-84.20364899432724,3
-42.24029882408606,3
-75.28441804077788,2
-74.91824270963905,2
-69.42442534214496,3
-72.4673768146129,2
-80.07163727921672,3
-40.23628381877196,1
-45.14346092342724,5
-49.08163066767283,4
-69.54207700325313,5
-79.07536993041354,6
-74.27059798710712,0
-80.98479209300456,6
-48.392156398194025,2
-36.68739398777468,6
-52.771534602297095,2
-72.03369745220115,2
-79.17688462913074,1
-45.15256551050423,2
-37.25741641929114,1
